"function_name","source_file","line_start","line_end","top_level","exported","s3_method","local_function","duplicate_definition","verified_source_defined","previous_audit_classification","corrected_classification","evidence","notes"
".resolve_axis_values","R/cube_slice.R",304,366,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:304 top-level assignment to function; not exported in NAMESPACE",""
".slice_time_numeric","R/cube_slice.R",368,382,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:368 top-level assignment to function; not exported in NAMESPACE",""
".resolve_time_values","R/cube_slice.R",384,456,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:384 top-level assignment to function; not exported in NAMESPACE",""
".resolve_selected_variables","R/cube_slice.R",458,495,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:458 top-level assignment to function; not exported in NAMESPACE",""
".validate_slice_tolerance","R/cube_slice.R",497,565,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:497 top-level assignment to function; not exported in NAMESPACE",""
".selection_units","R/cube_slice.R",567,573,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:567 top-level assignment to function; not exported in NAMESPACE",""
".selection_contains_dimensional_data","R/cube_slice.R",575,579,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:575 top-level assignment to function; not exported in NAMESPACE",""
".selection_auxiliary_components","R/cube_slice.R",581,632,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:581 top-level assignment to function; not exported in NAMESPACE",""
"cube_transect","R/cube_transect.R",83,178,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_transect.R:83 top-level assignment to function; registered by export() in NAMESPACE",""
".transect_scalar_column","R/cube_transect.R",180,186,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:180 top-level assignment to function; not exported in NAMESPACE",""
".transect_point_label","R/cube_transect.R",188,190,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:188 top-level assignment to function; not exported in NAMESPACE",""
".transect_resolve_spatial","R/cube_transect.R",192,218,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:192 top-level assignment to function; not exported in NAMESPACE",""
".plan_cube_transect","R/cube_transect.R",220,396,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:220 top-level assignment to function; not exported in NAMESPACE",""
".transect_mode","R/cube_transect.R",398,425,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:398 top-level assignment to function; not exported in NAMESPACE",""
".transect_validate_antimeridian","R/cube_transect.R",427,443,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:427 top-level assignment to function; not exported in NAMESPACE",""
".transect_cumulative_distance","R/cube_transect.R",445,457,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:445 top-level assignment to function; not exported in NAMESPACE",""
".cube_transect_long","R/cube_transect.R",459,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:459 top-level assignment to function; not exported in NAMESPACE",""
".cube_transect_wide","R/cube_transect.R",502,535,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_transect.R:502 top-level assignment to function; not exported in NAMESPACE",""
"download_nc","R/download_nc.R",19,100,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/download_nc.R:19 top-level assignment to function; registered by export() in NAMESPACE",""
"layer_mean","R/layer_mean.R",9,61,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/layer_mean.R:9 top-level assignment to function; registered by export() in NAMESPACE",""
"link_events","R/link_events.R",25,106,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/link_events.R:25 top-level assignment to function; registered by export() in NAMESPACE",""
".read_event_values","R/link_events.R",108,122,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/link_events.R:108 top-level assignment to function; not exported in NAMESPACE",""
".nearest_index","R/link_events.R",124,129,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/link_events.R:124 top-level assignment to function; not exported in NAMESPACE",""
".nearest_date_index","R/link_events.R",131,156,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/link_events.R:131 top-level assignment to function; not exported in NAMESPACE",""
"ocean_cube","R/ocean_cube.R",74,171,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/ocean_cube.R:74 top-level assignment to function; registered by export() in NAMESPACE",""
"print.ocean_cube","R/ocean_cube.R",174,190,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"internal","s3-method-top-level","R/ocean_cube.R:174 top-level assignment to function; registered by S3method() in NAMESPACE",""
"summary.ocean_cube","R/ocean_cube.R",193,208,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"internal","s3-method-top-level","R/ocean_cube.R:193 top-level assignment to function; registered by S3method() in NAMESPACE",""
"read_nc","R/read_nc.R",18,116,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/read_nc.R:18 top-level assignment to function; registered by export() in NAMESPACE",""
"stock_mask","R/stock_mask.R",12,57,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/stock_mask.R:12 top-level assignment to function; registered by export() in NAMESPACE",""
"print.ocean_mask","R/stock_mask.R",60,66,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"internal","s3-method-top-level","R/stock_mask.R:60 top-level assignment to function; registered by S3method() in NAMESPACE",""
"crop_stock","R/stock_mask.R",75,119,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/stock_mask.R:75 top-level assignment to function; registered by export() in NAMESPACE",""
"to_month","R/to_month.R",8,42,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/to_month.R:8 top-level assignment to function; registered by export() in NAMESPACE",""
"%||%","R/utils-internal.R",1,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:1 top-level assignment to function; not exported in NAMESPACE",""
".abort_badarg","R/utils-internal.R",5,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:5 top-level assignment to function; not exported in NAMESPACE",""
".message_info","R/utils-internal.R",12,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:12 top-level assignment to function; not exported in NAMESPACE",""
".message_done","R/utils-internal.R",16,18,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:16 top-level assignment to function; not exported in NAMESPACE",""
".check_numeric_vector","R/utils-internal.R",20,28,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:20 top-level assignment to function; not exported in NAMESPACE",""
".check_range","R/utils-internal.R",30,39,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:30 top-level assignment to function; not exported in NAMESPACE",""
".check_cube_coordinates","R/utils-internal.R",41,109,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:41 top-level assignment to function; not exported in NAMESPACE",""
".check_cube_dimensions","R/utils-internal.R",111,149,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:111 top-level assignment to function; not exported in NAMESPACE",""
".cube_shape","R/utils-internal.R",151,197,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:151 top-level assignment to function; not exported in NAMESPACE",""
".check_cube","R/utils-internal.R",199,313,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:199 top-level assignment to function; not exported in NAMESPACE",""
".safe_mean","R/utils-internal.R",315,319,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:315 top-level assignment to function; not exported in NAMESPACE",""
".safe_sd","R/utils-internal.R",321,325,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:321 top-level assignment to function; not exported in NAMESPACE",""
".weighted_mean","R/utils-internal.R",327,331,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:327 top-level assignment to function; not exported in NAMESPACE",""
".depth_edges","R/utils-internal.R",333,342,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:333 top-level assignment to function; not exported in NAMESPACE",""
".depth_weights","R/utils-internal.R",344,346,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:344 top-level assignment to function; not exported in NAMESPACE",""
".guess_dim","R/utils-internal.R",348,357,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:348 top-level assignment to function; not exported in NAMESPACE",""
".read_cf_time","R/utils-internal.R",359,388,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:359 top-level assignment to function; not exported in NAMESPACE",""
".make_filename","R/utils-internal.R",390,405,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:390 top-level assignment to function; not exported in NAMESPACE",""
"clean","R/utils-internal.R",392,392,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"not-counted-separately","local-function-excluded","Named function assignment nested inside top-level function .make_filename; excluded from package function count.","Not an oceancube top-level function; anonymous callbacks are not counted."
".make_provenance","R/utils-internal.R",407,419,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/utils-internal.R:407 top-level assignment to function; not exported in NAMESPACE",""
