"function_name","source_file","called_by","calls","module","current_role","decision","proposed_file","duplicate","apparently_unused","dynamic_use_possible","tests","risk","evidence","notes"
".read_netcdf_index_plan","R/backend-netcdf.R",".cube_read_block_netcdf; .cube_read_netcdf",".netcdf_block_dimnames; .read_netcdf_variable_block; .validate_netcdf_physical_schema; .validate_netcdf_storage; .with_netcdf_connection","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1366 verified top-level definition; static callers: .cube_read_block_netcdf; .cube_read_netcdf; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_block_netcdf","R/backend-netcdf.R",".cube_read_block",".check_cube; .cube_storage_shape; .plan_cube_index_read; .read_netcdf_index_plan; .validate_cube_block","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1416 verified top-level definition; static callers: .cube_read_block; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_netcdf","R/backend-netcdf.R",".cube_read",".abort_badarg; .check_cube; .plan_cube_index_read; .read_netcdf_index_plan","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1427 verified top-level definition; static callers: .cube_read; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_spatial_pairs_netcdf","R/backend-netcdf.R",".cube_read_spatial_pairs",".check_cube; .read_netcdf_variable_block; .spatial_pair_map; .validate_netcdf_physical_schema; .validate_netcdf_storage; .validate_spatial_pair_read; .with_netcdf_connection","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1443 verified top-level definition; static callers: .cube_read_spatial_pairs; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".new_netcdf_cube","R/backend-netcdf.R","","%||%; .check_cube; .netcdf_scalar_string; .validate_netcdf_storage","backend/netcdf","helper exercised directly by tests","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-grid-geometry.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-refactor-link-events-backend.R","low","R/backend-netcdf.R:1538 verified top-level definition; no static caller; tests: tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-grid-geometry.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-refactor-link-events-backend.R; documentation: inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_extract.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R","Retain behavior; physical movement requires a later no-behavior-change commit."
"print.ocean_clim","R/clim_day.R","","%||%","climatology","registered S3 method","retain-internal","R/clim_day.R",FALSE,FALSE,FALSE,"","high","R/clim_day.R:117 verified top-level definition; no static caller; no direct static test reference; no active documentation reference; NAMESPACE S3method registration","Retain behavior; physical movement requires a later no-behavior-change commit."
".daily_keys","R/clim_day.R","clim_day","","climatology","static helper used by package functions","retain-internal","R/clim_day.R",FALSE,FALSE,FALSE,"","low","R/clim_day.R:127 verified top-level definition; static callers: clim_day; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".date_key","R/clim_day.R",".clim_index; clim_day","","climatology","static helper used by package functions","retain-internal","R/clim_day.R",FALSE,FALSE,FALSE,"","low","R/clim_day.R:136 verified top-level definition; static callers: .clim_index; clim_day; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_estimated_bytes","R/cube_collect.R","cube_collect",".cube_product_as_double; .cube_shape","extraction","static helper used by package functions","retain-internal","R/cube_collect.R",FALSE,FALSE,FALSE,"tests/testthat/test-cube-collect.R","low","R/cube_collect.R:89 verified top-level definition; static callers: cube_collect; tests: tests/testthat/test-cube-collect.R; documentation: inst/examples/noncontiguous_collect.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_crop_bbox","R/cube_crop.R","cube_crop",".abort_badarg","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:149 verified top-level definition; static callers: cube_crop; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_cube_crop","R/cube_crop.R","cube_crop",".cube_axis_names; .cube_shape; .resolve_numeric_crop_range; .resolve_selected_variables; .resolve_time_crop_range; .validate_cube_index","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"tests/testthat/test-cube-crop.R","low","R/cube_crop.R:203 verified top-level definition; static callers: cube_crop; tests: tests/testthat/test-cube-crop.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_numeric_crop_range","R/cube_crop.R",".resolve_numeric_crop_range",".abort_badarg","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:263 verified top-level definition; static callers: .resolve_numeric_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".crop_range_outside","R/cube_crop.R",".resolve_numeric_crop_range; .resolve_time_crop_range",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:288 verified top-level definition; static callers: .resolve_numeric_crop_range; .resolve_time_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".crop_range_no_overlap","R/cube_crop.R",".resolve_numeric_crop_range; .resolve_time_crop_range",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:303 verified top-level definition; static callers: .resolve_numeric_crop_range; .resolve_time_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".crop_range_no_coordinates","R/cube_crop.R",".resolve_numeric_crop_range; .resolve_time_crop_range",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:318 verified top-level definition; static callers: .resolve_numeric_crop_range; .resolve_time_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_numeric_crop_range","R/cube_crop.R",".resolve_cube_crop",".abort_badarg; .crop_range_no_coordinates; .crop_range_no_overlap; .crop_range_outside; .validate_numeric_crop_range","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:331 verified top-level definition; static callers: .resolve_cube_crop; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".crop_time_class","R/cube_crop.R",".resolve_time_crop_range","","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:399 verified top-level definition; static callers: .resolve_time_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".crop_posix_timezone","R/cube_crop.R",".resolve_time_crop_range","","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"","low","R/cube_crop.R:411 verified top-level definition; static callers: .resolve_time_crop_range; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_time_crop_range","R/cube_crop.R",".resolve_cube_crop",".abort_badarg; .crop_posix_timezone; .crop_range_no_coordinates; .crop_range_no_overlap; .crop_range_outside; .crop_time_class","selection","static helper used by package functions","retain-internal","R/cube_crop.R",FALSE,FALSE,FALSE,"tests/testthat/test-cube-crop.R","low","R/cube_crop.R:419 verified top-level definition; static callers: .resolve_cube_crop; tests: tests/testthat/test-cube-crop.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_extract_flag","R/cube_extract.R","cube_extract; cube_transect",".abort_badarg","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:259 verified top-level definition; static callers: cube_extract; cube_transect; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_extract_mode","R/cube_extract.R","cube_extract","","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:266 verified top-level definition; static callers: cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".estimate_cube_extract","R/cube_extract.R","cube_extract",".cube_product_as_double","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:303 verified top-level definition; static callers: cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".extract_cube_coordinates","R/cube_extract.R",".extract_selected_coordinates","","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:351 verified top-level definition; static callers: .extract_selected_coordinates; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".extract_selected_coordinates","R/cube_extract.R",".cube_extract_long; .cube_extract_wide; .validate_extract_wide; cube_extract",".extract_cube_coordinates","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:361 verified top-level definition; static callers: .cube_extract_long; .cube_extract_wide; .validate_extract_wide; cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".extract_table_units","R/cube_extract.R","cube_extract; cube_transect",".selection_units","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:365 verified top-level definition; static callers: cube_extract; cube_transect; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".extract_local_indices","R/cube_extract.R",".cube_extract_long; .cube_extract_wide",".cube_axis_names","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:384 verified top-level definition; static callers: .cube_extract_long; .cube_extract_wide; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".append_extract_indices","R/cube_extract.R",".cube_extract_long; .cube_extract_wide","","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:392 verified top-level definition; static callers: .cube_extract_long; .cube_extract_wide; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".append_extract_distances","R/cube_extract.R",".cube_extract_long; .cube_extract_wide","","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:400 verified top-level definition; static callers: .cube_extract_long; .cube_extract_wide; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_extract_long","R/cube_extract.R","cube_extract",".append_extract_distances; .append_extract_indices; .cube_axis_names; .extract_local_indices; .extract_selected_coordinates","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:412 verified top-level definition; static callers: cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_extract_wide","R/cube_extract.R","cube_extract",".abort_badarg; .cube_axis_names; .extract_selected_coordinates","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:447 verified top-level definition; static callers: cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_extract_wide","R/cube_extract.R","cube_extract",".append_extract_distances; .append_extract_indices; .cube_axis_names; .extract_local_indices; .extract_selected_coordinates","extraction","static helper used by package functions","retain-internal","R/cube_extract.R",FALSE,FALSE,FALSE,"","low","R/cube_extract.R:486 verified top-level definition; static callers: cube_extract; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".with_s2_geometry","R/cube_grid_geometry.R","cube_cell_area; cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:114 verified top-level definition; static callers: cube_cell_area; cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_horizontal_geometry","R/cube_grid_geometry.R","cube_cell_area; cube_polygon_weights",".cube_axis_bounds","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:127 verified top-level definition; static callers: cube_cell_area; cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_axis_bounds","R/cube_grid_geometry.R",".cube_horizontal_geometry",".abort_badarg; .axis_bounds_metadata; .bounds_to_pairs; .validate_geometry_axis","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:159 verified top-level definition; static callers: .cube_horizontal_geometry; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_geometry_axis","R/cube_grid_geometry.R",".cube_axis_bounds; .cube_vertical_geometry",".abort_badarg","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:236 verified top-level definition; static callers: .cube_axis_bounds; .cube_vertical_geometry; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".axis_bounds_metadata","R/cube_grid_geometry.R",".cube_axis_bounds","","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:264 verified top-level definition; static callers: .cube_axis_bounds; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".bounds_to_pairs","R/cube_grid_geometry.R",".cube_axis_bounds; .cube_vertical_geometry",".abort_badarg","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:292 verified top-level definition; static callers: .cube_axis_bounds; .cube_vertical_geometry; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_vertical_geometry","R/cube_grid_geometry.R","cube_layer_thickness; cube_polygon_weights",".abort_badarg; .bounds_to_pairs; .depth_conversion_factor; .validate_geometry_axis; .vertical_bounds_metadata","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:315 verified top-level definition; static callers: cube_layer_thickness; cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".vertical_bounds_metadata","R/cube_grid_geometry.R",".cube_vertical_geometry","%||%; .normalize_depth_unit","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:371 verified top-level definition; static callers: .cube_vertical_geometry; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".normalize_depth_unit","R/cube_grid_geometry.R",".vertical_bounds_metadata",".abort_badarg","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:418 verified top-level definition; static callers: .vertical_bounds_metadata; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".depth_conversion_factor","R/cube_grid_geometry.R",".cube_vertical_geometry; cube_layer_thickness; cube_polygon_weights",".abort_badarg","geometry/masks","static helper used by package functions","retain-internal","R/cube_grid_geometry.R",FALSE,FALSE,FALSE,"","low","R/cube_grid_geometry.R:440 verified top-level definition; static callers: .cube_vertical_geometry; cube_layer_thickness; cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".normalize_polygon_geometry","R/cube_mask.R","cube_mask; cube_polygon_weights","%||%; .abort_badarg; .polygon_crosses_antimeridian","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:186 verified top-level definition; static callers: cube_mask; cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".polygon_crosses_antimeridian","R/cube_mask.R",".normalize_polygon_geometry","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:327 verified top-level definition; static callers: .normalize_polygon_geometry; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_cell_centers","R/cube_mask.R","cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:340 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".classify_cell_centers","R/cube_mask.R","cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:354 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".combine_cube_masks","R/cube_mask.R","cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:378 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".typed_missing","R/cube_mask.R",".apply_cube_mask_5d; .read_masked_cube_values","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:406 verified top-level definition; static callers: .apply_cube_mask_5d; .read_masked_cube_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".canonical_cube_dimnames","R/cube_mask.R",".read_masked_cube_values; cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:419 verified top-level definition; static callers: .read_masked_cube_values; cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".apply_cube_mask_5d","R/cube_mask.R","cube_mask",".abort_badarg; .typed_missing","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:429 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".plan_masked_cube_read","R/cube_mask.R","cube_mask",".cube_axis_names; .cube_shape","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:458 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".read_masked_cube_values","R/cube_mask.R","cube_mask",".canonical_cube_dimnames; .cube_read; .cube_shape; .typed_missing","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:520 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".mask_coverage","R/cube_mask.R","cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:544 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".new_polygon_ocean_mask","R/cube_mask.R","cube_mask","","geometry/masks","static helper used by package functions","retain-internal","R/cube_mask.R",FALSE,FALSE,FALSE,"","low","R/cube_mask.R:569 verified top-level definition; static callers: cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".polygon_feature_ids","R/cube_polygon_weights.R","cube_polygon_weights",".abort_badarg","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:116 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".polygon_cell_intersections","R/cube_polygon_weights.R","cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:143 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".polygon_weight_table","R/cube_polygon_weights.R","cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:214 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".polygon_feature_coverage","R/cube_polygon_weights.R","cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:262 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".add_polygon_coverage_columns","R/cube_polygon_weights.R","cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:291 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".expand_polygon_weights_depth","R/cube_polygon_weights.R","cube_polygon_weights","","geometry/masks","static helper used by package functions","retain-internal","R/cube_polygon_weights.R",FALSE,FALSE,FALSE,"","low","R/cube_polygon_weights.R:301 verified top-level definition; static callers: cube_polygon_weights; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_cube_slice","R/cube_slice.R",".plan_cube_transect; cube_extract; cube_slice",".abort_badarg; .cube_axis_names; .cube_shape; .resolve_axis_values; .resolve_selected_variables; .resolve_time_values; .validate_cube_index; .validate_slice_tolerance","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"tests/testthat/test-cube-slice.R","low","R/cube_slice.R:173 verified top-level definition; static callers: .plan_cube_transect; cube_extract; cube_slice; tests: tests/testthat/test-cube-slice.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_slice_selector_vector","R/cube_slice.R",".resolve_axis_values; .resolve_selected_variables; .resolve_time_values",".abort_badarg","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:255 verified top-level definition; static callers: .resolve_axis_values; .resolve_selected_variables; .resolve_time_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".slice_format_values","R/cube_slice.R",".crop_range_no_coordinates; .crop_range_no_overlap; .crop_range_outside; .slice_beyond_tolerance; .slice_not_found; .slice_outside_domain","","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:265 verified top-level definition; static callers: .crop_range_no_coordinates; .crop_range_no_overlap; .crop_range_outside; .slice_beyond_tolerance; .slice_not_found; .slice_outside_domain; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".slice_outside_domain","R/cube_slice.R",".resolve_axis_values; .resolve_time_values",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:269 verified top-level definition; static callers: .resolve_axis_values; .resolve_time_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".slice_not_found","R/cube_slice.R",".resolve_axis_values; .resolve_time_values",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:282 verified top-level definition; static callers: .resolve_axis_values; .resolve_time_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".slice_beyond_tolerance","R/cube_slice.R",".resolve_axis_values; .resolve_time_values",".slice_format_values","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:293 verified top-level definition; static callers: .resolve_axis_values; .resolve_time_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_axis_values","R/cube_slice.R",".resolve_cube_slice; .transect_resolve_spatial",".abort_badarg; .slice_beyond_tolerance; .slice_not_found; .slice_outside_domain; .validate_slice_selector_vector","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:304 verified top-level definition; static callers: .resolve_cube_slice; .transect_resolve_spatial; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".slice_time_numeric","R/cube_slice.R",".resolve_time_values","","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:368 verified top-level definition; static callers: .resolve_time_values; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_time_values","R/cube_slice.R",".resolve_cube_slice",".abort_badarg; .slice_beyond_tolerance; .slice_not_found; .slice_outside_domain; .slice_time_numeric; .validate_slice_selector_vector","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:384 verified top-level definition; static callers: .resolve_cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_selected_variables","R/cube_slice.R",".resolve_cube_crop; .resolve_cube_slice",".abort_badarg; .validate_slice_selector_vector","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:458 verified top-level definition; static callers: .resolve_cube_crop; .resolve_cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_slice_tolerance","R/cube_slice.R",".plan_cube_transect; .resolve_cube_slice",".abort_badarg","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:497 verified top-level definition; static callers: .plan_cube_transect; .resolve_cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".selection_units","R/cube_slice.R",".extract_table_units; cube_crop; cube_slice","","selection","static helper used by package functions","retain-internal","R/cube_slice.R",FALSE,FALSE,FALSE,"","low","R/cube_slice.R:567 verified top-level definition; static callers: .extract_table_units; cube_crop; cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
