"caller","callee","caller_visibility","callee_visibility","caller_file","callee_file","relationship_type","evidence"
"cm_connect",".message_done","public","internal","R/cm_setup.R","R/utils-internal.R","static direct symbol call","R/cm_setup.R:51-62 contains call symbol .message_done"
"coast_dist",".check_cube","public","internal","R/coast_dist.R","R/utils-internal.R","static direct symbol call","R/coast_dist.R:8-38 contains call symbol .check_cube"
"coast_dist",".cube_shape","public","internal","R/coast_dist.R","R/utils-internal.R","static direct symbol call","R/coast_dist.R:8-38 contains call symbol .cube_shape"
"coast_dist",".abort_badarg","public","internal","R/coast_dist.R","R/utils-internal.R","static direct symbol call","R/coast_dist.R:8-38 contains call symbol .abort_badarg"
"coast_dist",".make_provenance","public","internal","R/coast_dist.R","R/utils-internal.R","static direct symbol call","R/coast_dist.R:8-38 contains call symbol .make_provenance"
"cube_collect",".check_cube","public","internal","R/cube_collect.R","R/utils-internal.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .check_cube"
"cube_collect",".cube_backend","public","internal","R/cube_collect.R","R/backend-memory.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .cube_backend"
"cube_collect",".cube_estimated_bytes","public","internal","R/cube_collect.R","R/cube_collect.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .cube_estimated_bytes"
"cube_collect",".cube_read","public","internal","R/cube_collect.R","R/backend-memory.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .cube_read"
"cube_collect",".cube_shape","public","internal","R/cube_collect.R","R/utils-internal.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .cube_shape"
"cube_collect",".netcdf_as_utc","public","internal","R/cube_collect.R","R/backend-netcdf.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .netcdf_as_utc"
"cube_collect",".new_collected_memory_cube","public","internal","R/cube_collect.R","R/backend-memory.R","static direct symbol call","R/cube_collect.R:35-87 contains call symbol .new_collected_memory_cube"
".cube_estimated_bytes",".cube_shape","internal","internal","R/cube_collect.R","R/utils-internal.R","static direct symbol call","R/cube_collect.R:89-109 contains call symbol .cube_shape"
".cube_estimated_bytes",".cube_product_as_double","internal","internal","R/cube_collect.R","R/backend-index.R","static direct symbol call","R/cube_collect.R:89-109 contains call symbol .cube_product_as_double"
"cube_crop",".check_cube","public","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .check_cube"
"cube_crop",".cube_backend","public","internal","R/cube_crop.R","R/backend-memory.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .cube_backend"
"cube_crop",".resolve_crop_bbox","public","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .resolve_crop_bbox"
"cube_crop",".resolve_cube_crop","public","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .resolve_cube_crop"
"cube_crop",".plan_cube_index_read","public","internal","R/cube_crop.R","R/backend-index.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .plan_cube_index_read"
"cube_crop",".cube_read","public","internal","R/cube_crop.R","R/backend-memory.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .cube_read"
"cube_crop",".selection_auxiliary_components","public","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .selection_auxiliary_components"
"cube_crop",".selection_units","public","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .selection_units"
"cube_crop",".netcdf_as_utc","public","internal","R/cube_crop.R","R/backend-netcdf.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .netcdf_as_utc"
"cube_crop",".new_selected_memory_cube","public","internal","R/cube_crop.R","R/backend-memory.R","static direct symbol call","R/cube_crop.R:59-147 contains call symbol .new_selected_memory_cube"
".resolve_crop_bbox",".abort_badarg","internal","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:149-201 contains call symbol .abort_badarg"
".resolve_cube_crop",".cube_axis_names","internal","internal","R/cube_crop.R","R/backend-memory.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .cube_axis_names"
".resolve_cube_crop",".resolve_time_crop_range","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .resolve_time_crop_range"
".resolve_cube_crop",".resolve_numeric_crop_range","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .resolve_numeric_crop_range"
".resolve_cube_crop",".resolve_selected_variables","internal","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .resolve_selected_variables"
".resolve_cube_crop",".validate_cube_index","internal","internal","R/cube_crop.R","R/backend-memory.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .validate_cube_index"
".resolve_cube_crop",".cube_shape","internal","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:203-261 contains call symbol .cube_shape"
".validate_numeric_crop_range",".abort_badarg","internal","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:263-286 contains call symbol .abort_badarg"
".crop_range_outside",".slice_format_values","internal","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:288-301 contains call symbol .slice_format_values"
".crop_range_no_overlap",".slice_format_values","internal","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:303-316 contains call symbol .slice_format_values"
".crop_range_no_coordinates",".slice_format_values","internal","internal","R/cube_crop.R","R/cube_slice.R","static direct symbol call","R/cube_crop.R:318-329 contains call symbol .slice_format_values"
".resolve_numeric_crop_range",".abort_badarg","internal","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:331-397 contains call symbol .abort_badarg"
".resolve_numeric_crop_range",".validate_numeric_crop_range","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:331-397 contains call symbol .validate_numeric_crop_range"
".resolve_numeric_crop_range",".crop_range_outside","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:331-397 contains call symbol .crop_range_outside"
".resolve_numeric_crop_range",".crop_range_no_overlap","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:331-397 contains call symbol .crop_range_no_overlap"
".resolve_numeric_crop_range",".crop_range_no_coordinates","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:331-397 contains call symbol .crop_range_no_coordinates"
".resolve_time_crop_range",".crop_time_class","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .crop_time_class"
".resolve_time_crop_range",".abort_badarg","internal","internal","R/cube_crop.R","R/utils-internal.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .abort_badarg"
".resolve_time_crop_range",".crop_posix_timezone","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .crop_posix_timezone"
".resolve_time_crop_range",".crop_range_outside","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .crop_range_outside"
".resolve_time_crop_range",".crop_range_no_overlap","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .crop_range_no_overlap"
".resolve_time_crop_range",".crop_range_no_coordinates","internal","internal","R/cube_crop.R","R/cube_crop.R","static direct symbol call","R/cube_crop.R:419-492 contains call symbol .crop_range_no_coordinates"
"cube_extract",".check_cube","public","internal","R/cube_extract.R","R/utils-internal.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .check_cube"
"cube_extract",".cube_backend","public","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .cube_backend"
"cube_extract",".validate_extract_flag","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .validate_extract_flag"
"cube_extract",".abort_badarg","public","internal","R/cube_extract.R","R/utils-internal.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .abort_badarg"
"cube_extract",".resolve_cube_slice","public","internal","R/cube_extract.R","R/cube_slice.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .resolve_cube_slice"
"cube_extract",".validate_extract_mode","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .validate_extract_mode"
"cube_extract",".estimate_cube_extract","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .estimate_cube_extract"
"cube_extract",".validate_extract_wide","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .validate_extract_wide"
"cube_extract",".plan_cube_index_read","public","internal","R/cube_extract.R","R/backend-index.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .plan_cube_index_read"
"cube_extract",".cube_read","public","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .cube_read"
"cube_extract",".extract_table_units","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .extract_table_units"
"cube_extract",".cube_extract_long","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .cube_extract_long"
"cube_extract",".cube_extract_wide","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .cube_extract_wide"
"cube_extract",".extract_selected_coordinates","public","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .extract_selected_coordinates"
"cube_extract",".cube_axis_names","public","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .cube_axis_names"
"cube_extract",".netcdf_as_utc","public","internal","R/cube_extract.R","R/backend-netcdf.R","static direct symbol call","R/cube_extract.R:85-257 contains call symbol .netcdf_as_utc"
".validate_extract_flag",".abort_badarg","internal","internal","R/cube_extract.R","R/utils-internal.R","static direct symbol call","R/cube_extract.R:259-264 contains call symbol .abort_badarg"
".estimate_cube_extract",".cube_product_as_double","internal","internal","R/cube_extract.R","R/backend-index.R","static direct symbol call","R/cube_extract.R:303-349 contains call symbol .cube_product_as_double"
".extract_selected_coordinates",".extract_cube_coordinates","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:361-363 contains call symbol .extract_cube_coordinates"
".extract_table_units",".selection_units","internal","internal","R/cube_extract.R","R/cube_slice.R","static direct symbol call","R/cube_extract.R:365-382 contains call symbol .selection_units"
".extract_local_indices",".cube_axis_names","internal","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:384-390 contains call symbol .cube_axis_names"
".cube_extract_long",".extract_local_indices","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:412-445 contains call symbol .extract_local_indices"
".cube_extract_long",".extract_selected_coordinates","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:412-445 contains call symbol .extract_selected_coordinates"
".cube_extract_long",".append_extract_indices","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:412-445 contains call symbol .append_extract_indices"
".cube_extract_long",".cube_axis_names","internal","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:412-445 contains call symbol .cube_axis_names"
".cube_extract_long",".append_extract_distances","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:412-445 contains call symbol .append_extract_distances"
".validate_extract_wide",".abort_badarg","internal","internal","R/cube_extract.R","R/utils-internal.R","static direct symbol call","R/cube_extract.R:447-484 contains call symbol .abort_badarg"
".validate_extract_wide",".extract_selected_coordinates","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:447-484 contains call symbol .extract_selected_coordinates"
".validate_extract_wide",".cube_axis_names","internal","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:447-484 contains call symbol .cube_axis_names"
".cube_extract_wide",".extract_local_indices","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:486-527 contains call symbol .extract_local_indices"
".cube_extract_wide",".extract_selected_coordinates","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:486-527 contains call symbol .extract_selected_coordinates"
".cube_extract_wide",".append_extract_indices","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:486-527 contains call symbol .append_extract_indices"
".cube_extract_wide",".cube_axis_names","internal","internal","R/cube_extract.R","R/backend-memory.R","static direct symbol call","R/cube_extract.R:486-527 contains call symbol .cube_axis_names"
".cube_extract_wide",".append_extract_distances","internal","internal","R/cube_extract.R","R/cube_extract.R","static direct symbol call","R/cube_extract.R:486-527 contains call symbol .append_extract_distances"
"cube_cell_area",".check_cube","public","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:15-37 contains call symbol .check_cube"
"cube_cell_area",".cube_horizontal_geometry","public","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:15-37 contains call symbol .cube_horizontal_geometry"
"cube_cell_area",".with_s2_geometry","public","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:15-37 contains call symbol .with_s2_geometry"
"cube_layer_thickness",".check_cube","public","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:55-71 contains call symbol .check_cube"
"cube_layer_thickness",".cube_vertical_geometry","public","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:55-71 contains call symbol .cube_vertical_geometry"
"cube_layer_thickness",".depth_conversion_factor","public","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:55-71 contains call symbol .depth_conversion_factor"
"cube_layer_thickness","%||%","public","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:55-71 contains call symbol %||%"
"cube_cell_volume",".check_cube","public","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:88-112 contains call symbol .check_cube"
"cube_cell_volume","cube_cell_area","public","public","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:88-112 contains call symbol cube_cell_area"
"cube_cell_volume","cube_layer_thickness","public","public","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:88-112 contains call symbol cube_layer_thickness"
".cube_horizontal_geometry",".cube_axis_bounds","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:127-157 contains call symbol .cube_axis_bounds"
".cube_axis_bounds",".validate_geometry_axis","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:159-234 contains call symbol .validate_geometry_axis"
".cube_axis_bounds",".axis_bounds_metadata","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:159-234 contains call symbol .axis_bounds_metadata"
".cube_axis_bounds",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:159-234 contains call symbol .abort_badarg"
".cube_axis_bounds",".bounds_to_pairs","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:159-234 contains call symbol .bounds_to_pairs"
".validate_geometry_axis",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:236-262 contains call symbol .abort_badarg"
".bounds_to_pairs",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:292-313 contains call symbol .abort_badarg"
".cube_vertical_geometry",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:315-369 contains call symbol .abort_badarg"
".cube_vertical_geometry",".validate_geometry_axis","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:315-369 contains call symbol .validate_geometry_axis"
".cube_vertical_geometry",".vertical_bounds_metadata","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:315-369 contains call symbol .vertical_bounds_metadata"
".cube_vertical_geometry",".bounds_to_pairs","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:315-369 contains call symbol .bounds_to_pairs"
".cube_vertical_geometry",".depth_conversion_factor","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:315-369 contains call symbol .depth_conversion_factor"
".vertical_bounds_metadata",".normalize_depth_unit","internal","internal","R/cube_grid_geometry.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_grid_geometry.R:371-416 contains call symbol .normalize_depth_unit"
".vertical_bounds_metadata","%||%","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:371-416 contains call symbol %||%"
".normalize_depth_unit",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:418-438 contains call symbol .abort_badarg"
".depth_conversion_factor",".abort_badarg","internal","internal","R/cube_grid_geometry.R","R/utils-internal.R","static direct symbol call","R/cube_grid_geometry.R:440-463 contains call symbol .abort_badarg"
"cube_mask",".check_cube","public","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .check_cube"
"cube_mask",".cube_backend","public","internal","R/cube_mask.R","R/backend-memory.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .cube_backend"
"cube_mask",".normalize_polygon_geometry","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .normalize_polygon_geometry"
"cube_mask",".cube_cell_centers","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .cube_cell_centers"
"cube_mask",".classify_cell_centers","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .classify_cell_centers"
"cube_mask",".combine_cube_masks","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .combine_cube_masks"
"cube_mask",".plan_masked_cube_read","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .plan_masked_cube_read"
"cube_mask",".read_masked_cube_values","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .read_masked_cube_values"
"cube_mask",".canonical_cube_dimnames","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .canonical_cube_dimnames"
"cube_mask",".apply_cube_mask_5d","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .apply_cube_mask_5d"
"cube_mask",".mask_coverage","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .mask_coverage"
"cube_mask",".new_polygon_ocean_mask","public","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .new_polygon_ocean_mask"
"cube_mask",".selection_contains_dimensional_data","public","internal","R/cube_mask.R","R/cube_slice.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .selection_contains_dimensional_data"
"cube_mask",".netcdf_as_utc","public","internal","R/cube_mask.R","R/backend-netcdf.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .netcdf_as_utc"
"cube_mask",".new_collected_memory_cube","public","internal","R/cube_mask.R","R/backend-memory.R","static direct symbol call","R/cube_mask.R:72-184 contains call symbol .new_collected_memory_cube"
".normalize_polygon_geometry",".abort_badarg","internal","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:186-325 contains call symbol .abort_badarg"
".normalize_polygon_geometry",".polygon_crosses_antimeridian","internal","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:186-325 contains call symbol .polygon_crosses_antimeridian"
".normalize_polygon_geometry","%||%","internal","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:186-325 contains call symbol %||%"
".apply_cube_mask_5d",".abort_badarg","internal","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:429-456 contains call symbol .abort_badarg"
".apply_cube_mask_5d",".typed_missing","internal","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:429-456 contains call symbol .typed_missing"
".plan_masked_cube_read",".cube_shape","internal","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:458-518 contains call symbol .cube_shape"
".plan_masked_cube_read",".cube_axis_names","internal","internal","R/cube_mask.R","R/backend-memory.R","static direct symbol call","R/cube_mask.R:458-518 contains call symbol .cube_axis_names"
".read_masked_cube_values",".cube_shape","internal","internal","R/cube_mask.R","R/utils-internal.R","static direct symbol call","R/cube_mask.R:520-542 contains call symbol .cube_shape"
".read_masked_cube_values",".canonical_cube_dimnames","internal","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:520-542 contains call symbol .canonical_cube_dimnames"
".read_masked_cube_values",".cube_read","internal","internal","R/cube_mask.R","R/backend-memory.R","static direct symbol call","R/cube_mask.R:520-542 contains call symbol .cube_read"
".read_masked_cube_values",".typed_missing","internal","internal","R/cube_mask.R","R/cube_mask.R","static direct symbol call","R/cube_mask.R:520-542 contains call symbol .typed_missing"
"cube_polygon_weights",".check_cube","public","internal","R/cube_polygon_weights.R","R/utils-internal.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .check_cube"
"cube_polygon_weights",".abort_badarg","public","internal","R/cube_polygon_weights.R","R/utils-internal.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .abort_badarg"
"cube_polygon_weights",".normalize_polygon_geometry","public","internal","R/cube_polygon_weights.R","R/cube_mask.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .normalize_polygon_geometry"
"cube_polygon_weights",".polygon_feature_ids","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .polygon_feature_ids"
"cube_polygon_weights",".cube_horizontal_geometry","public","internal","R/cube_polygon_weights.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .cube_horizontal_geometry"
"cube_polygon_weights",".with_s2_geometry","public","internal","R/cube_polygon_weights.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .with_s2_geometry"
"cube_polygon_weights",".polygon_cell_intersections","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .polygon_cell_intersections"
"cube_polygon_weights",".polygon_weight_table","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .polygon_weight_table"
"cube_polygon_weights",".polygon_feature_coverage","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .polygon_feature_coverage"
"cube_polygon_weights",".add_polygon_coverage_columns","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .add_polygon_coverage_columns"
"cube_polygon_weights",".cube_vertical_geometry","public","internal","R/cube_polygon_weights.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .cube_vertical_geometry"
"cube_polygon_weights",".depth_conversion_factor","public","internal","R/cube_polygon_weights.R","R/cube_grid_geometry.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .depth_conversion_factor"
"cube_polygon_weights",".expand_polygon_weights_depth","public","internal","R/cube_polygon_weights.R","R/cube_polygon_weights.R","static direct symbol call","R/cube_polygon_weights.R:32-114 contains call symbol .expand_polygon_weights_depth"
".polygon_feature_ids",".abort_badarg","internal","internal","R/cube_polygon_weights.R","R/utils-internal.R","static direct symbol call","R/cube_polygon_weights.R:116-141 contains call symbol .abort_badarg"
"cube_slice",".check_cube","public","internal","R/cube_slice.R","R/utils-internal.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .check_cube"
"cube_slice",".cube_backend","public","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .cube_backend"
"cube_slice",".abort_badarg","public","internal","R/cube_slice.R","R/utils-internal.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .abort_badarg"
"cube_slice",".resolve_cube_slice","public","internal","R/cube_slice.R","R/cube_slice.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .resolve_cube_slice"
"cube_slice",".plan_cube_index_read","public","internal","R/cube_slice.R","R/backend-index.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .plan_cube_index_read"
"cube_slice",".cube_read","public","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .cube_read"
"cube_slice",".selection_auxiliary_components","public","internal","R/cube_slice.R","R/cube_slice.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .selection_auxiliary_components"
"cube_slice",".selection_units","public","internal","R/cube_slice.R","R/cube_slice.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .selection_units"
"cube_slice",".cube_axis_names","public","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .cube_axis_names"
"cube_slice",".netcdf_as_utc","public","internal","R/cube_slice.R","R/backend-netcdf.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .netcdf_as_utc"
"cube_slice",".new_selected_memory_cube","public","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:66-171 contains call symbol .new_selected_memory_cube"
".resolve_cube_slice",".cube_axis_names","internal","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .cube_axis_names"
".resolve_cube_slice",".validate_cube_index","internal","internal","R/cube_slice.R","R/backend-memory.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .validate_cube_index"
".resolve_cube_slice",".cube_shape","internal","internal","R/cube_slice.R","R/utils-internal.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .cube_shape"
".resolve_cube_slice",".abort_badarg","internal","internal","R/cube_slice.R","R/utils-internal.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .abort_badarg"
".resolve_cube_slice",".validate_slice_tolerance","internal","internal","R/cube_slice.R","R/cube_slice.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .validate_slice_tolerance"
".resolve_cube_slice",".resolve_selected_variables","internal","internal","R/cube_slice.R","R/cube_slice.R","static direct symbol call","R/cube_slice.R:173-253 contains call symbol .resolve_selected_variables"
