"function_name","source_file","line_start","line_end","exported","s3_method","s3_generic","visibility","module_current","direct_call_count","called_by_count","tests_found","documentation_found","examples_found","roadmap_0.2_status","recommended_action","proposed_name","evidence","notes"
"%||%","R/utils-internal.R",1,3,FALSE,FALSE,"","internal","internal-utils",0,14,0,0,0,"internalize","internalize","%||%","R/utils-internal.R:1-3; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_cube_slice","R/cube_slice.R",173,253,FALSE,FALSE,"","internal","selection",8,3,1,0,0,"internalize","internalize",".resolve_cube_slice","R/cube_slice.R:173-253; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".resolve_netcdf_dimension","R/backend-netcdf.R",265,354,FALSE,FALSE,"","internal","backend/netcdf",3,1,0,0,0,"internalize","internalize",".resolve_netcdf_dimension","R/backend-netcdf.R:265-354; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_numeric_crop_range","R/cube_crop.R",331,397,FALSE,FALSE,"","internal","selection",5,1,0,0,0,"internalize","internalize",".resolve_numeric_crop_range","R/cube_crop.R:331-397; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_selected_variables","R/cube_slice.R",458,495,FALSE,FALSE,"","internal","selection",2,2,0,0,0,"internalize","internalize",".resolve_selected_variables","R/cube_slice.R:458-495; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_time_crop_range","R/cube_crop.R",419,492,FALSE,FALSE,"","internal","selection",6,1,1,0,0,"internalize","internalize",".resolve_time_crop_range","R/cube_crop.R:419-492; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".resolve_time_values","R/cube_slice.R",384,456,FALSE,FALSE,"","internal","selection",6,1,0,0,0,"internalize","internalize",".resolve_time_values","R/cube_slice.R:384-456; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".safe_mean","R/utils-internal.R",315,319,FALSE,FALSE,"","internal","internal-utils",0,2,0,0,0,"internalize","internalize",".safe_mean","R/utils-internal.R:315-319; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".safe_sd","R/utils-internal.R",321,325,FALSE,FALSE,"","internal","internal-utils",0,2,0,0,0,"internalize","internalize",".safe_sd","R/utils-internal.R:321-325; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".selection_auxiliary_components","R/cube_slice.R",581,632,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".selection_auxiliary_components","R/cube_slice.R:581-632; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".selection_contains_dimensional_data","R/cube_slice.R",575,579,FALSE,FALSE,"","internal","selection",1,3,0,0,0,"internalize","internalize",".selection_contains_dimensional_data","R/cube_slice.R:575-579; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".selection_units","R/cube_slice.R",567,573,FALSE,FALSE,"","internal","selection",0,3,0,0,0,"internalize","internalize",".selection_units","R/cube_slice.R:567-573; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".slice_beyond_tolerance","R/cube_slice.R",293,302,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".slice_beyond_tolerance","R/cube_slice.R:293-302; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".slice_format_values","R/cube_slice.R",265,267,FALSE,FALSE,"","internal","selection",0,6,0,0,0,"internalize","internalize",".slice_format_values","R/cube_slice.R:265-267; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".slice_not_found","R/cube_slice.R",282,291,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".slice_not_found","R/cube_slice.R:282-291; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".slice_outside_domain","R/cube_slice.R",269,280,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".slice_outside_domain","R/cube_slice.R:269-280; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".slice_time_numeric","R/cube_slice.R",368,382,FALSE,FALSE,"","internal","selection",0,1,0,0,0,"internalize","internalize",".slice_time_numeric","R/cube_slice.R:368-382; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".spatial_pair_map","R/backend-index.R",157,168,FALSE,FALSE,"","internal","backend/netcdf",0,3,0,0,0,"internalize","internalize",".spatial_pair_map","R/backend-index.R:157-168; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_cumulative_distance","R/cube_transect.R",445,457,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".transect_cumulative_distance","R/cube_transect.R:445-457; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_mode","R/cube_transect.R",398,425,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".transect_mode","R/cube_transect.R:398-425; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_point_label","R/cube_transect.R",188,190,FALSE,FALSE,"","internal","extraction",0,2,0,0,0,"internalize","internalize",".transect_point_label","R/cube_transect.R:188-190; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_resolve_spatial","R/cube_transect.R",192,218,FALSE,FALSE,"","internal","extraction",2,1,0,0,0,"internalize","internalize",".transect_resolve_spatial","R/cube_transect.R:192-218; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_scalar_column","R/cube_transect.R",180,186,FALSE,FALSE,"","internal","extraction",1,1,0,0,0,"internalize","internalize",".transect_scalar_column","R/cube_transect.R:180-186; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".transect_validate_antimeridian","R/cube_transect.R",427,443,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".transect_validate_antimeridian","R/cube_transect.R:427-443; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".translate_netcdf_block","R/backend-netcdf.R",1126,1188,FALSE,FALSE,"","internal","backend/netcdf",2,1,1,1,1,"internalize","internalize",".translate_netcdf_block","R/backend-netcdf.R:1126-1188; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".typed_missing","R/cube_mask.R",406,417,FALSE,FALSE,"","internal","geometry/masks",0,2,0,0,0,"internalize","internalize",".typed_missing","R/cube_mask.R:406-417; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_cube_block","R/backend-memory.R",256,293,FALSE,FALSE,"","internal","backend/netcdf",2,3,0,0,0,"internalize","internalize",".validate_cube_block","R/backend-memory.R:256-293; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_cube_block_vector","R/backend-memory.R",219,254,FALSE,FALSE,"","internal","backend/netcdf",2,1,0,0,0,"internalize","internalize",".validate_cube_block_vector","R/backend-memory.R:219-254; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_cube_index","R/backend-memory.R",167,217,FALSE,FALSE,"","internal","backend/netcdf",3,5,0,0,0,"internalize","internalize",".validate_cube_index","R/backend-memory.R:167-217; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_cube_position","R/backend-memory.R",120,165,FALSE,FALSE,"","internal","backend/netcdf",1,1,0,0,0,"internalize","internalize",".validate_cube_position","R/backend-memory.R:120-165; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_extract_flag","R/cube_extract.R",259,264,FALSE,FALSE,"","internal","extraction",1,2,0,0,0,"internalize","internalize",".validate_extract_flag","R/cube_extract.R:259-264; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_extract_mode","R/cube_extract.R",266,301,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".validate_extract_mode","R/cube_extract.R:266-301; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_extract_wide","R/cube_extract.R",447,484,FALSE,FALSE,"","internal","extraction",3,1,0,0,0,"internalize","internalize",".validate_extract_wide","R/cube_extract.R:447-484; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_geometry_axis","R/cube_grid_geometry.R",236,262,FALSE,FALSE,"","internal","geometry/masks",1,2,0,0,0,"internalize","internalize",".validate_geometry_axis","R/cube_grid_geometry.R:236-262; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_memory_backend","R/backend-memory.R",44,88,FALSE,FALSE,"","internal","backend/netcdf",2,2,0,0,0,"internalize","internalize",".validate_memory_backend","R/backend-memory.R:44-88; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_netcdf_file_identity","R/backend-netcdf.R",119,190,FALSE,FALSE,"","internal","backend/netcdf",3,1,0,0,0,"internalize","internalize",".validate_netcdf_file_identity","R/backend-netcdf.R:119-190; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_netcdf_physical_schema","R/backend-netcdf.R",1235,1284,FALSE,FALSE,"","internal","backend/netcdf",1,2,1,0,0,"internalize","internalize",".validate_netcdf_physical_schema","R/backend-netcdf.R:1235-1284; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".validate_netcdf_storage","R/backend-netcdf.R",853,1124,FALSE,FALSE,"","internal","backend/netcdf",4,8,1,0,0,"internalize","internalize",".validate_netcdf_storage","R/backend-netcdf.R:853-1124; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".validate_netcdf_variables_argument","R/backend-netcdf.R",431,445,FALSE,FALSE,"","internal","backend/netcdf",1,1,0,0,0,"internalize","internalize",".validate_netcdf_variables_argument","R/backend-netcdf.R:431-445; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_numeric_crop_range","R/cube_crop.R",263,286,FALSE,FALSE,"","internal","selection",1,1,0,0,0,"internalize","internalize",".validate_numeric_crop_range","R/cube_crop.R:263-286; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_slice_selector_vector","R/cube_slice.R",255,263,FALSE,FALSE,"","internal","selection",1,3,0,0,0,"internalize","internalize",".validate_slice_selector_vector","R/cube_slice.R:255-263; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_slice_tolerance","R/cube_slice.R",497,565,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".validate_slice_tolerance","R/cube_slice.R:497-565; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".validate_spatial_pair_read","R/backend-index.R",128,155,FALSE,FALSE,"","internal","backend/netcdf",3,2,0,0,0,"internalize","internalize",".validate_spatial_pair_read","R/backend-index.R:128-155; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".vertical_bounds_metadata","R/cube_grid_geometry.R",371,416,FALSE,FALSE,"","internal","geometry/masks",2,1,0,0,0,"internalize","internalize",".vertical_bounds_metadata","R/cube_grid_geometry.R:371-416; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".weighted_mean","R/utils-internal.R",327,331,FALSE,FALSE,"","internal","internal-utils",0,1,0,0,0,"internalize","internalize",".weighted_mean","R/utils-internal.R:327-331; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".with_netcdf_connection","R/backend-netcdf.R",55,72,FALSE,FALSE,"","internal","backend/netcdf",3,3,1,0,0,"internalize","internalize",".with_netcdf_connection","R/backend-netcdf.R:55-72; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".with_s2_geometry","R/cube_grid_geometry.R",114,125,FALSE,FALSE,"","internal","geometry/masks",0,2,0,0,0,"internalize","internalize",".with_s2_geometry","R/cube_grid_geometry.R:114-125; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
"annual_index","R/annual_index.R",9,56,TRUE,FALSE,"","public","aggregation",4,0,3,7,6,"not-mentioned","review","annual_index","R/annual_index.R:9-56; NAMESPACE export; direct-call test files: 3","Roadmap decision requires human review."
"anom_diff","R/anom_diff.R",8,10,TRUE,FALSE,"","public","anomaly",1,0,4,13,9,"retain","retain","anom_diff","R/anom_diff.R:8-10; NAMESPACE export; direct-call test files: 4; roadmap section 21.3","Static counts exclude dynamic dispatch."
"anom_z","R/anom_diff.R",19,21,TRUE,FALSE,"","public","anomaly",1,0,3,12,8,"retain","retain","anom_z","R/anom_diff.R:19-21; NAMESPACE export; direct-call test files: 3; roadmap section 21.3","Static counts exclude dynamic dispatch."
"clim_day","R/clim_day.R",19,114,TRUE,FALSE,"","public","climatology",9,0,3,14,7,"retain","retain","clim_day","R/clim_day.R:19-114; NAMESPACE export; direct-call test files: 3; roadmap section 21.3","Static counts exclude dynamic dispatch."
"clim_month","R/clim_month.R",8,68,TRUE,FALSE,"","public","climatology",7,0,8,16,9,"retain","retain","clim_month","R/clim_month.R:8-68; NAMESPACE export; direct-call test files: 8; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cm_connect","R/cm_setup.R",51,62,TRUE,FALSE,"","public","ingestion-copernicus",2,0,0,6,5,"retain","retain","cm_connect","R/cm_setup.R:51-62; NAMESPACE export; no direct-call test file found; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cm_setup","R/cm_setup.R",13,40,TRUE,FALSE,"","public","ingestion-copernicus",2,0,0,6,5,"retain","retain","cm_setup","R/cm_setup.R:13-40; NAMESPACE export; no direct-call test file found; roadmap section 21.3","Static counts exclude dynamic dispatch."
"coast_dist","R/coast_dist.R",8,38,TRUE,FALSE,"","public","geometry/masks",4,0,1,7,6,"not-mentioned","review","coast_dist","R/coast_dist.R:8-38; NAMESPACE export; direct-call test files: 1","Roadmap decision requires human review."
"crop_stock","R/stock_mask.R",75,119,TRUE,FALSE,"","public","geometry/masks",5,0,2,7,5,"not-mentioned","review","crop_stock","R/stock_mask.R:75-119; NAMESPACE export; direct-call test files: 2","Roadmap decision requires human review."
"cube_cell_area","R/cube_grid_geometry.R",15,37,TRUE,FALSE,"","public","geometry/masks",3,1,1,12,8,"retain","retain","cube_cell_area","R/cube_grid_geometry.R:15-37; NAMESPACE export; direct-call test files: 1; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_cell_volume","R/cube_grid_geometry.R",88,112,TRUE,FALSE,"","public","geometry/masks",3,0,1,12,8,"retain","retain","cube_cell_volume","R/cube_grid_geometry.R:88-112; NAMESPACE export; direct-call test files: 1; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_collect","R/cube_collect.R",35,87,TRUE,FALSE,"","public","extraction",7,0,6,18,11,"retain","retain","cube_collect","R/cube_collect.R:35-87; NAMESPACE export; direct-call test files: 6; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_crop","R/cube_crop.R",59,147,TRUE,FALSE,"","public","selection",10,0,2,16,9,"retain","retain","cube_crop","R/cube_crop.R:59-147; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_extract","R/cube_extract.R",85,257,TRUE,FALSE,"","public","extraction",16,0,2,14,9,"retain","retain","cube_extract","R/cube_extract.R:85-257; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_layer_thickness","R/cube_grid_geometry.R",55,71,TRUE,FALSE,"","public","geometry/masks",4,1,1,12,8,"retain","retain","cube_layer_thickness","R/cube_grid_geometry.R:55-71; NAMESPACE export; direct-call test files: 1; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_mask","R/cube_mask.R",72,184,TRUE,FALSE,"","public","geometry/masks",15,0,2,13,9,"retain","retain","cube_mask","R/cube_mask.R:72-184; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_polygon_weights","R/cube_polygon_weights.R",32,114,TRUE,FALSE,"","public","geometry/masks",13,0,2,15,11,"retain","retain","cube_polygon_weights","R/cube_polygon_weights.R:32-114; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_slice","R/cube_slice.R",66,171,TRUE,FALSE,"","public","selection",11,0,3,16,10,"retain","retain","cube_slice","R/cube_slice.R:66-171; NAMESPACE export; direct-call test files: 3; roadmap section 21.3","Static counts exclude dynamic dispatch."
"cube_transect","R/cube_transect.R",83,178,TRUE,FALSE,"","public","extraction",9,0,1,14,10,"retain","retain","cube_transect","R/cube_transect.R:83-178; NAMESPACE export; direct-call test files: 1; roadmap section 21.3","Static counts exclude dynamic dispatch."
"download_nc","R/download_nc.R",19,100,TRUE,FALSE,"","public","ingestion-copernicus",6,0,0,7,5,"rename","rename","download_copernicus","R/download_nc.R:19-100; NAMESPACE export; no direct-call test file found; roadmap section 21.4","Static counts exclude dynamic dispatch."
"layer_mean","R/layer_mean.R",9,61,TRUE,FALSE,"","public","summary",10,0,7,8,6,"rename","rename","cube_vertical_mean","R/layer_mean.R:9-61; NAMESPACE export; direct-call test files: 7; roadmap section 21.3; roadmap section 21.4","Static counts exclude dynamic dispatch."
"link_events","R/link_events.R",25,106,TRUE,FALSE,"","public","matching",6,0,5,13,9,"rename","rename","cube_join","R/link_events.R:25-106; NAMESPACE export; direct-call test files: 5; roadmap section 21.3; roadmap section 21.4","Static counts exclude dynamic dispatch."
"ocean_cube","R/ocean_cube.R",74,171,TRUE,FALSE,"","public","core-object",5,7,19,39,25,"retain","retain","ocean_cube","R/ocean_cube.R:74-171; NAMESPACE export; direct-call test files: 19; roadmap section 21.3","Static counts exclude dynamic dispatch."
"print.ocean_clim","R/clim_day.R",117,125,FALSE,TRUE,"print","internal","climatology",1,0,0,0,0,"retain","retain","print.ocean_clim","R/clim_day.R:117-125; not exported by NAMESPACE; NAMESPACE S3method; no direct-call test file found","Static counts exclude dynamic dispatch."
"print.ocean_cube","R/ocean_cube.R",174,190,FALSE,TRUE,"print","internal","core-object",2,0,0,0,0,"retain","retain","print.ocean_cube","R/ocean_cube.R:174-190; not exported by NAMESPACE; NAMESPACE S3method; no direct-call test file found","Static counts exclude dynamic dispatch."
"print.ocean_mask","R/stock_mask.R",60,66,FALSE,TRUE,"print","internal","geometry/masks",1,0,0,0,0,"retain","retain","print.ocean_mask","R/stock_mask.R:60-66; not exported by NAMESPACE; NAMESPACE S3method; no direct-call test file found","Static counts exclude dynamic dispatch."
"read_nc","R/read_nc.R",18,116,TRUE,FALSE,"","public","backend/netcdf",6,0,2,11,7,"retain","retain","read_nc","R/read_nc.R:18-116; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"signal_noise","R/anom_diff.R",31,33,TRUE,FALSE,"","public","anomaly",1,0,2,8,6,"retain","retain","signal_noise","R/anom_diff.R:31-33; NAMESPACE export; direct-call test files: 2; roadmap section 21.3","Static counts exclude dynamic dispatch."
"stock_mask","R/stock_mask.R",12,57,TRUE,FALSE,"","public","geometry/masks",2,0,5,11,7,"not-mentioned","review","stock_mask","R/stock_mask.R:12-57; NAMESPACE export; direct-call test files: 5","Roadmap decision requires human review."
"summary.ocean_cube","R/ocean_cube.R",193,208,FALSE,TRUE,"summary","internal","core-object",1,0,0,0,0,"retain","retain","summary.ocean_cube","R/ocean_cube.R:193-208; not exported by NAMESPACE; NAMESPACE S3method; no direct-call test file found","Static counts exclude dynamic dispatch."
"to_month","R/to_month.R",8,42,TRUE,FALSE,"","public","aggregation",5,0,4,8,6,"retain","retain","to_month","R/to_month.R:8-42; NAMESPACE export; direct-call test files: 4; roadmap section 21.3","Static counts exclude dynamic dispatch."
